Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
288,Robbie Chosen,MIA,WR,30,0,0,0,0,0,0,0,,0,4,3,107,35.67,1,0,0,1,19.7,121,,AndeRo04
289,Tank Bigsby,JAX,RB,22,0,0,0,0,0,36,86,2.39,2,4,1,6,6,0,2,2,2,18.2,76,,BigsTa00
290,Michael Carter,2TM,RB,24,0,0,0,0,0,16,82,5.13,0,24,19,83,4.37,0,0,0,0,35.5,78,,CartMi03
291,Damien Harris,BUF,RB,26,0,0,0,0,0,23,94,4.09,1,2,2,16,8,0,0,0,1,19,77,,HarrDa06
292,Deonte Harty,BUF,WR,26,0,0,0,0,0,4,0,0,0,19,13,113,8.69,1,1,0,1,30.3,119,,HarrDe07
293,Van Jefferson,2TM,WR,27,0,0,0,0,0,1,4,4,0,31,14,164,11.71,0,0,0,0,30.8,120,,JeffVa00
294,Demarcus Robinson,LAR,WR,29,0,0,0,0,0,0,0,,0,10,9,107,11.89,1,0,0,1,25.7,122,,RobiDe01
295,Mo Alie-Cox,IND,TE,30,0,0,0,0,0,0,0,,0,10,6,102,17,1,0,0,1,22.2,50,,AlieMo00
296,River Cracraft,MIA,WR,29,0,0,0,0,0,0,0,,0,10,8,103,12.88,1,0,0,1,24.3,123,,CracRi00
297,Joe Flacco,CLE,QB,38,23,44,254,2,1,0,0,,0,0,0,0,,0,0,0,0,16.2,47,,FlacJo00
298,Connor Heyward,PIT,TE,24,0,1,0,0,0,1,0,0,0,32,21,163,7.76,0,0,0,0,37.3,49,,HeywCo00
299,Andrei Iosivas,CIN,WR,24,0,0,0,0,0,0,0,,0,8,5,39,7.8,2,0,0,2,20.9,124,,IosiAn00
300,Tucker Kraft,GNB,TE,23,0,0,0,0,0,0,0,,0,15,10,95,9.5,1,0,0,1,25.5,51,,KrafTu00
301,Cordarrelle Patterson,ATL,RB,32,0,0,0,0,0,30,130,4.33,0,7,6,29,4.83,0,1,0,0,21.9,80,,PattCo00
302,Jeff Wilson,MIA,RB,28,0,0,0,0,0,22,96,4.36,0,10,9,67,7.44,0,0,0,0,25.3,79,,WilsJe01
303,Daniel Bellinger,NYG,TE,23,0,0,0,0,0,0,0,,0,15,13,145,11.15,0,0,0,0,27.5,55,,BellDa00
